Station Number,Station Name,Basin Plan WQ zone,River Basin,Latitude,Longitude,DPE Water WQ target zones
421176,LITTLE RIVER AT ARTHURVILLE NO.2,B3,Macquarie,-32.57176827300,148.72480774700,B3 Macquarie unregulated uplands
42110170,TURON RIVER AT BATHURST POINT,B3,Macquarie,-33.07572062400,149.67134282000,B3 Macquarie unregulated uplands
42110171,FISH RIVER AT HAZELGROVE,B3,Macquarie,-33.56454915600,149.89792569700,B3 Macquarie unregulated uplands
410004,MURRUMBIDGEE RIVER AT GUNDAGAI,B3,Murrumbidgee,-35.07493000000,148.10716000000,B3 Murrumbidgee regulated uplands
410073,TUMUT RIVER AT ODDYS BRIDGE,B3,Murrumbidgee,-35.38889928000,148.24791195000,B3 Murrumbidgee regulated uplands
410024,GOODRADIGBEE RIVER AT WEE JASPER (KASHMIR),B3,Murrumbidgee,-35.16500000300,148.68722220200,B3 Murrumbidgee unregulated uplands
410025,JUGIONG CREEK AT JUGIONG (INVERLOCKIE),B3,Murrumbidgee,-34.78792751600,148.37739153200,B3 Murrumbidgee unregulated uplands
410038,ADJUNGBILLY CREEK AT DARBALARA,B3,Murrumbidgee,-35.01761307300,148.24704749800,B3 Murrumbidgee unregulated uplands
410044,MUTTAMA CREEK AT COOLAC,B3,Murrumbidgee,-34.93068845400,148.16266065700,B3 Murrumbidgee unregulated uplands
410047,TARCUTTA CREEK AT OLD BORAMBOLA,A3,Murrumbidgee,-35.16191500000,147.65638000000,B3 Murrumbidgee unregulated uplands
410213,MURRUMBIDGEE RIVER AT ANGLE CROSSING,B3,Murrumbidgee,-35.58303913500,149.10908507400,B3 Murrumbidgee unregulated uplands
41010809,HILLAS CREEK AT MUNDARLO ROAD BRIDGE,B3,Murrumbidgee,-35.14606000000,147.80090000000,B3 Murrumbidgee unregulated uplands
41010890,ADELONG CREEK AT BEREENA,B3,Murrumbidgee,-35.11242823500,148.02735181200,B3 Murrumbidgee unregulated uplands
41010924,GOOBARRAGANDRA RIVER CROSSING AT LITTLE RIVER ROAD,B3,Murrumbidgee,-35.33208787000,148.34009029200,B3 Murrumbidgee unregulated uplands
401003,TOOMA RIVER AT WARBROOK,B6,Murray,-36.04460000000,148.03790000000,B6 Murray uplands
401201,MURRAY RIVER AT JINGELLIC,B6,Murray,-35.92920000000,147.70410000000,B6 Murray uplands
401556,MURRAY RIVER AT INDI BRIDGE,B6,Murray,-36.23510000000,148.03510000000,B6 Murray uplands
422001,BARWON RIVER AT DANGAR BRIDGE (WALGETT),Du: Upper,Barwon Darling,-30.01518222800,148.06037307000,Barwon 
422002,BARWON RIVER AT BREWARRINA,Du: Upper,Barwon Darling,-29.95874000000,146.85300000000,Barwon 
422003,BARWON RIVER AT COLLARENEBRI MAIN CHANNEL,Du: Upper,Barwon Darling,-29.54719224600,148.57684304900,Barwon 
412009,BELUBULA RIVER AT CANOWINDRA,B3,Lachlan,-33.57097916200,148.66394989100,Belubula
410016,BILLABONG CREEK AT JERILDERIE,"cMum: middle, upper",Murrumbidgee,-35.35336560500,145.73526954800,Billabong Creek
410091,BILLABONG CREEK AT WALBUNDRIE,"cMum: middle, upper",Murrumbidgee,-35.69171534900,146.72120955500,Billabong Creek
410134,BILLABONG CREEK AT DARLOT,"cMum: middle, upper",Murrumbidgee,-35.04400000000,144.44700000000,Billabong Creek
41610079,SEVERN RIVER AT STRATHBOGIE BRIDGE (INVERELL ROAD),C2,Border Rivers,-29.46893800000,151.48205000000,C2  Border Rivers
418014,GWYDIR RIVER AT YARROWYCK,C2,Gwydir,-30.46715695900,151.35813042800,C2 Gwydir
419010,MACDONALD RIVER AT WOOLBROOK,C2,Namoi,-30.96500891900,151.34679352500,C2 Namoi Montane
410033,MURRUMBIDGEE RIVER AT MITTAGANG CROSSING,C3,Murrumbidgee,-36.16444439700,149.09472220400,C3 Murrumbidgee montane
425007,DARLING RIVER AT BURTUNDY,Dml: middle lower,Barwon Darling,-33.74368300000,142.27086800000,Darling Lower
425012,DARLING RIVER AT MENINDEE UPSTREAM WEIR 32,Dml: middle lower,Barwon Darling,-32.43530000000,142.37990000000,Darling Lower
425003,DARLING RIVER AT BOURKE TOWN,Dml: middle lower,Barwon Darling,-30.08755000000,145.93542000000,Darling Upper
425004,DARLING RIVER AT LOUTH,Dml: middle lower,Barwon Darling,-30.53511000000,145.11420000000,Darling Upper
425008,DARLING RIVER AT WILCANNIA MAIN CHANNEL,Dml: middle lower,Barwon Darling,-31.55960833333,143.37970555556,Darling Upper
409003,EDWARD RIVER AT DENILIQUIN,"cMum: middle, upper",Murray,-35.52970000000,144.96570000000,Edward Wakool
409013,WAKOOL RIVER AT STONEY CROSSING,"cMum: middle, upper",Murray,-35.03768000000,143.57050000000,Edward Wakool
409034,WAKOOL RIVER AT KYALITE,"cMum: middle, upper",Murray,-34.94970103700,143.48102382800,Edward Wakool
42610001,MURRAY RIVER AT LOCK 8,IM,Murray,-34.12850674460,141.39936529420,IM
419027,MOOKI RIVER AT BREEZA,B2,Namoi,-31.25993794200,150.47043540100,Liverpool Plains
419032,COXS CREEK AT BOGGABRI,B2,Namoi,-30.76198500000,149.98507000000,Liverpool Plains
414206,MURRAY RIVER AT MERBEIN PUMP STATION,cMI: lower,Murray,-34.17334300000,142.08257700000,Murray lower
414209,MURRAY RIVER AT UPSTREAM EUSTON WEIR,cMI: lower,Murray,-34.59970000000,142.75860000000,Murray lower
409001,MURRAY RIVER AT ALBURY (UNION BRIDGE),"cMum: middle, upper",Murray,-36.09180000000,146.90680000000,Murray upper middle regulated
409005,MURRAY RIVER AT BARHAM,"cMum: middle, upper",Murray,-35.63040000000,144.12350000000,Murray upper middle regulated
409025,MURRAY RIVER AT DOWNSTREAM YARRAWONGA WEIR,"cMum: middle, upper",Murray,-36.01010000000,145.99711000000,Murray upper middle regulated
40910087,MURRAY RIVER AT MOAMA (ECHUCA),"cMum: middle, upper",Murray,-36.12098382160,144.75489647730,Murray upper middle regulated
419006,PEEL RIVER AT CARROLL GAP,B2,Namoi,-30.93860059900,150.52918917600,Peel
419016,COCKBURN RIVER AT MULLA CROSSING,B2,Namoi,-31.06055555556,151.12583333333,Peel
419024,PEEL RIVER AT UPSTREAM PARADISE WEIR,B2,Namoi,-31.10055975000,150.93862662100,Peel
